Name,WHO Region,Cases - cumulative total,Deaths - cumulative_total
Global,,412351279,5821004
United States of America,Americas,77057812,912508
India,South-East Asia,42692943,509358
Brazil,Americas,27479963,638362
France,Europe,21127104,132257
The United Kingdom,Europe,18348033,159605
Russian Federation,Europe,14480596,341635
Turkey,Europe,12984062,90808
Germany,Europe,12580343,120220
Italy,Europe,12134451,151296
Spain,Europe,10672906,96596
Argentina,Americas,8747601,124349
Iran (Islamic Republic of),Eastern Mediterranean,6835221,133886
Colombia,Americas,6020095,137115
Netherlands,Europe,5789483,21402
Poland,Europe,5437257,108515
Mexico,Americas,5292706,312819
Indonesia,South-East Asia,4901328,145455
Ukraine,Europe,4572417,103255
Japan,Western Pacific,3975779,20494
South Africa,Africa,3642905,97250
Philippines,Western Pacific,3639942,55094
Israel,Europe,3457964,9624
Belgium,Europe,3447539,29724
